config,origin_id,origin_date,omega,alpha,beta,alpha_plus_beta,nu,mu,convergence_flag,convergence_warning,nu_boundary,near_nonstationary,cov_50,cov_80,cov_90,cov_95,cov_99,pi95_width_h63
rolling,18,2007-08-31,0.003543532952034737,0.013121656928792576,0.9865306580061893,0.9996523149349819,4.715155900511761,0.0035640917845638563,0,False,False,True,0.07936507936507936,0.5873015873015873,0.6507936507936508,0.7142857142857143,1.0,59.08150892073161
rolling,19,2008-02-12,0.004832704677166974,0.01241934049965197,0.9863172242039344,0.9987365647035864,5.2220238916337784,0.05260142665192507,0,False,False,False,0.15873015873015872,0.4126984126984127,0.8412698412698413,1.0,1.0,80.1037896559001
rolling,20,2008-07-21,0.019714566782430217,0.018415784574954276,0.9776333034590815,0.9960490880340358,5.459347335057179,0.05597844007980202,0,False,False,False,0.8095238095238095,0.8888888888888888,1.0,1.0,1.0,97.52075320854821
rolling,21,2008-12-24,0.00865486042447129,0.011683916757625581,0.9863650123785478,0.9980489291361734,5.409005881824612,0.04292047501827976,0,False,False,False,0.5873015873015873,0.9206349206349206,1.0,1.0,1.0,73.74497719218766
rolling,22,2009-06-04,0.009219701038627107,0.011985639804411214,0.9860235360712981,0.9980091758757094,5.039243873948883,0.06233544829315176,0,False,False,False,0.14285714285714285,0.3333333333333333,0.6031746031746031,0.6507936507936508,1.0,87.84679247586702
rolling,23,2009-11-09,0.013736256613193887,0.012931048952843112,0.9841140656939839,0.997045114646827,5.306886794098172,0.05437668189949304,0,False,False,False,0.873015873015873,0.9365079365079365,0.9841269841269841,1.0,1.0,92.9233774644764
rolling,24,2010-04-20,0.012743225674242527,0.014465706188956557,0.9824958741620373,0.9969615803509939,5.332117714250039,0.04448592910657441,0,False,False,False,0.3968253968253968,0.5873015873015873,0.6666666666666666,0.9523809523809523,1.0,69.9076333461058
rolling,25,2010-09-24,0.01359887330656639,0.01359432571782209,0.9829940567782947,0.9965883824961167,5.290152005387733,0.07190317465781647,0,False,False,False,0.3968253968253968,0.9523809523809523,1.0,1.0,1.0,127.48459477748696
rolling,26,2011-03-04,0.0216158883811353,0.019877364516198488,0.9747284751465687,0.9946058396627672,5.897088512097745,0.07380101482532471,0,False,False,False,0.6984126984126984,0.9682539682539683,0.9841269841269841,1.0,1.0,172.96165615204697
rolling,27,2011-08-10,0.02465127358412426,0.015441027252415,0.9774260619380809,0.9928670891904959,5.970175898440305,0.06376391193930461,0,False,False,False,0.47619047619047616,0.6507936507936508,0.6825396825396826,0.746031746031746,1.0,136.58112503026973
rolling,28,2012-01-18,0.029229593078264518,0.016432254267187987,0.9755024349070981,0.9919346891742861,6.130147636872491,0.07043723845331103,0,False,False,False,0.12698412698412698,0.38095238095238093,0.5396825396825397,0.9682539682539683,1.0,147.34392480686753
rolling,29,2012-06-25,0.02300700087452797,0.0133579068369455,0.9807110914849572,0.9940689983219027,5.904433140511565,0.04498709238099885,0,False,False,False,0.36507936507936506,0.6507936507936508,0.7142857142857143,0.7777777777777778,1.0,100.16283408951503
rolling,30,2012-11-29,0.03777570215591406,0.01727841489249566,0.9729848052119928,0.9902632201044885,6.361606938893704,0.03652448210581746,0,False,False,False,0.8253968253968254,0.9841269841269841,1.0,1.0,1.0,97.83173147769027
rolling,31,2013-05-09,0.0647171159299255,0.016528546317969954,0.9666712024838989,0.9831997488018689,6.057760266609576,0.035100556523054216,0,False,False,False,0.047619047619047616,0.14285714285714285,0.5238095238095238,0.9047619047619048,1.0,87.24455784606047
rolling,32,2013-10-15,0.13297243867996617,0.020647255199648103,0.9435604618109515,0.9642077170105996,6.857806322450688,0.01461330518424263,0,False,False,False,0.3968253968253968,0.7142857142857143,0.9365079365079365,1.0,1.0,70.53324485789136
rolling,33,2014-03-25,0.09341561440425442,0.026575310746069912,0.9507946920598994,0.9773700028059693,6.319983580208472,-0.013181511353399846,0,False,False,False,0.6349206349206349,0.873015873015873,1.0,1.0,1.0,147.8234425873585
